Year,Mo,Dy,Hr,Mn,Sec,Tsu,Name,Lat,Long,focal depth,Mag,MMI Int,Deaths,Det,Injuries,Det,Damage Mill$,Det,Houses Destoyed,Det,Houses Damaged,Det
1902,8,,,,,,CHINA: YUNNAN PROVINCE,26.3,99.9,,5.5,7,6,1,,,,2,,3,,3
1902,9,22,1,46,30,,GUAM: AGANA,18,146,33,8.1,9,,,,1,,3,,,,
1902,9,23,20,18,30,,MEXICO: VENUSTIANO CARRANZA CHIAPAS CHIS TABASCO,16.6,-92.6,100,7.8,,,,,,,3,,,,
1902,12,12,23,10,,,MEXICO: BAJA CALIFORNIA,29,-114,60,7.8,,,,,,,,,,,
1902,12,16,5,7,,,UZBEKISTAN: ANDIZHAN,40.8,72.3,9,6.4,9,4880,4,,,,4,41704,4,41704,4
1903,1,4,5,7,,,TONGA ISLANDS,-20,-175,400,8,,,,,,,,,,,
1903,1,14,1,47,36,,MEXICO: OFF COAST OF GUERRERO,15,-98,33,7.7,,,,,,,,,,,
1903,2,1,9,34,,,MONGOLIA,48,98,60,7.8,,,,,,,,,,,
1903,2,10,2,28,,Tsu,GUAM,14,143.3,,,7,,,,,,1,,,,1
1903,2,27,0,43,18,,INDONESIA: S OF JAVA,-8,106,,8.1,,,,,,,,,,,
1903,3,29,22,30,,,ISRAEL: NABULUS,32.2,35.3,,5.7,,20,1,,,,,,,,
1903,3,30,,,,Tsu,INDONESIA: TIFU MASARETE KAJELI,-3,127.5,33,6.5,,,,,,,,,,,
1903,4,19,,,,,TURKEY,39.1,42.4,,,,1700,4,,,,3,,,,
1903,4,28,23,46,,,TURKEY: MALAZGIRT,39.1,42.5,,6.3,10,3560,4,,4,,4,12000,4,,
1903,5,13,6,34,6,,VANUATU ISLANDS,-17,168,60,7.9,,,,,,,,,,,
1903,5,13,,,,Tsu,ITALY: PALERMO,38.1,13.4,,,,,,,,,,,,,
1903,5,28,3,58,,,TURKEY: VARGINIS CARDAHLI MEHKEREK,40.9,42.7,,5.8,8,1000,3,,,,3,,,,
1903,6,2,13,17,,Tsu,ALASKA: SOUTHWEST,61.56,-158.54,,8.3,,,,,,,,,,,
1903,7,16,,,,Tsu,MEXICO: ACAPULCO,16.7,-99.2,,,,,,,,,,,,,
1903,7,28,4,,,,ITALY: N,44.3,10,,,12,,,,,,,,,,
1903,8,8,1,10,,,COLOMBIA,4.6,-74,,7.7,,,,,,,,,,,
1903,8,11,4,32,54,,GREECE: MITATA (KYTHERA),36,23,100,7.8,11,2,1,,,,3,,,,
1903,9,7,,,,Tsu,TAIWAN,,,,,,,,,,,,,,,
1903,9,25,1,20,,,IRAN: KASHMAR,35.2,58.2,,6.5,,350,3,,,,,,,,
1903,9,26,,,,Tsu,CHILE: IQUIQUE,-20.2,-70.15,,,,,,,,,,,,,
1903,12,7,14,25,,Tsu,CHILE: VALLENAR/ FREIRINA,-28.5,-71,,6.5,8,,1,,,,2,,2,,
1903,12,28,2,56,,,PHILIPPINES: DAVAO GULF,7,126,60,7.8,8,,,,,,2,,,,3
1904,1,20,14,52,6,Tsu,PANAMA-COLOMBIA,7,-79,60,7.9,,,,,,,,,,,
1904,3,18,13,42,,,JAPAN: HOKKAIDO,42.5,145.8,40,7.6,10,,,,,,1,,,,
1904,4,4,10,3,,,BULGARIA: STRUMA,41.8,23.2,15,7.5,10,,,,,,3,,,,
1904,4,4,10,27,,,BULGARIA: STRUMA,41.8,23.2,15,7.8,11,,,,,,3,,,,
1904,4,24,6,39,,,TAIWAN: JIAYI,23.5,120.5,,6,,3,1,10,1,,2,66,2,,
1904,6,7,8,17,,,JAPAN: SEA OF JAPAN,40,134,350,7.9,,,,,,,,,,,
1904,6,25,14,45,36,Tsu,RUSSIA: OFF KAMCHATKA,52,159,30,8.3,10,,,,,,1,,,,
1904,6,25,21,0,36,Tsu,RUSSIA: OFF KAMCHATKA,52,159,30,8.1,10,,,,,,1,,,,
1904,6,27,0,9,,,RUSSIA: OFF KAMCHATKA,52,159,60,7.9,9,,,,,,,,,,
1904,8,8,22,51,,Tsu,NEW ZEALAND: E OF NORTH ISLAND,-40.5,177,33,7.5,,,,,,,,,,,
1904,8,11,5,56,,,GREECE: SAMOS PATMOS,37.75,27,10,6.2,10,4,1,,,,3,540,3,540,3
1904,8,24,20,59,,,JAPAN: KYUSHU,30,130,25,7.9,,,,,,,,,,,
1904,8,27,21,56,,,ALASKA: RAMPART,64.66,-148.08,,8.3,6,,,,,,,,,,
1904,8,30,,,,,CHINA: SICHUAN PROVINCE,31.2,100.9,,6,8,400,3,,,,2,,3,,
1904,9,7,,,,Tsu,INDONESIA: S. JAVA,-7.7,109,,,,,,,,,,,,,
1904,11,1,11,,,,ECUADOR,-1,-80.5,,7.7,,,,,,,,,,,
1904,11,5,20,25,,,TAIWAN: JIAYI,23.5,120.3,,6.3,,145,3,158,3,,2,661,3,,
1904,12,20,5,44,18,,COSTA RICA,8.5,-83,60,8.3,,,,,,,,,,,
1904,12,30,,,,Tsu,COOK IS.,,,,,,,,,,,,,,,
1905,1,22,2,43,54,,INDONESIA: MINAHASSA PENINSULA,1,123,90,8.4,,,,,,,,,,,
1905,2,14,8,46,,,ALASKA: ANDREANOF ISLANDS,50.73,-178.55,,7.9,,,,,,,,,,,
1905,3,18,0,58,,,KERMADEC ISLANDS,-27.5,-173,60,7.5,,,,,,,,,,,
1905,3,19,,,,Tsu,VANUATU: MALO PASS,-15.6,167.2,,,,,,,,,,,,,
1905,4,4,0,50,,Tsu,INDIA: KANGRA,33,76,25,7.8,10,19000,4,,,,4,,,,
1905,4,15,,,,,TURKEY,40.2,29,33,6.5,10,,,,,,,,,,
1905,4,25,,,,,IRAN: BANDAR ABBAS QESHM/HENGAM,26.4,56.3,,,,,,,,,2,,,,
1905,5,9,,,,,MEXICO: JALISCO,20.3,-103.4,,,,,,,,,3,,,,
1905,5,18,13,45,,,PAPUA NEW GUINEA: BISMARCK SEA,-4,149,60,7.5,,,,,,,,,,,
1905,6,1,4,42,,,ALBANIA: SHKODER,42.1,19.6,20,6.6,10,120,3,,,23.8,3,,,,
1905,6,2,5,39,42,,JAPAN: AKI,34,132,100,7.8,,11,1,,,,1,59,2,59,2
1905,6,30,17,7,,,KIRIBATI: PHOENIX ISLANDS,-1,-168,60,7.6,,,,,,,,,,,
1905,7,6,16,21,,Tsu,JAPAN: OFF FUKUSHIMA,37.4,142.6,33,7,,,,,,,,,,,
1905,7,9,9,40,24,,MONGOLIA,49,99,33,8.4,,,,,,,,,,,
1905,7,23,2,46,12,,MONGOLIA,49,98,33,8.4,,,,,,,,,,,
1905,8,26,14,45,,,ITALY: CENTRAL,42.1,13.9,,,12,,,,,,,,,,
1905,9,1,2,45,,,JAPAN: HOKKAIDO,45,143,230,7.5,,,,,,,,,,,
1905,9,8,1,43,,Tsu,ITALY: MONTELEONE TROPEA NONTE PORO,39,16,,7.9,10,557,3,,,,3,,,,
1905,9,15,6,2,,,RUSSIA: KOMANDORSKY ISLAND,53,164,60,7.8,,,,,,,,,,,
1905,10,4,22,29,,Tsu,RUSSIA: BLACK SEA,44.5,37.5,,5.1,7,,,,,,,,,,
1905,10,8,7,27,,,BULGARIA,42,23,33,6.4,10,,,,,,,,,,
1905,10,21,11,1,,,GEORGIA: CAUCASUS,42,42,60,7.5,,,,,,,,,,,
1905,11,8,3,27,,,CHINA: SICHUAN PROVINCE,29.3,104.8,,5,6,13,1,,1,,1,3,1,3,1
1905,11,8,21,41,,,GREECE: AEGEAN SEA,40.25,24.2,30,7.8,10,,,,,,,,,,
1905,11,22,,,,Tsu,VANUATU: PORT VILA,-17.7,168.3,,,,,,,,,,,,,
1905,11,24,,,,Tsu,VANUATU: PORT VILA,-17.7,168.3,,,,,,,,,,,,,
1905,12,4,7,4,,,TURKEY: PUTURGE CELIKHAN/RUMKALE,38.1,38.6,,6.8,9,,3,,,,3,,,,
1905,12,8,8,22,,Tsu,PHILIPPINES: W. LUZON ISLAND: TUBURAN,11,123.5,,6.5,,,,,,,1,,,,
1905,,,,,,,SYRIA: RASUM-KALE (NEAR HALAB); LEBANON: BAYRONT,36.1,37.1,,,8,,,,,,2,,3,,3
1905,,,,,,Tsu,TUNISIA: BIZERTE,37.3,9.9,,,,,,,,,,,,,
1906,1,7,,,,,CHINA: YUNNAN PROVINCE,26.6,104.1,,5.5,7,,3,,,,2,,3,,
1906,1,21,13,49,35,,JAPAN: NEAR S COAST HONSHU,34,138,340,8.4,,,,,,,,,,,
1906,1,31,5,24,,Tsu,VENEZUELA: CARACAS,10.5,-66.917,,,,,,,,,,,,,
1906,1,31,15,35,51,Tsu,ECUADOR: OFF COAST,1,-81.5,25,8.6,9,1000,3,,,,2,,3,,
1906,2,3,,,,,COLOMBIA,3.5,-76.2,,7.7,10,,,,,,,,,,
1906,2,7,,,,Tsu,COLOMBIA-ECUADOR,1,-81,,,,,,,,,,,,,
1906,2,16,,,,,SAINT LUCIA: CASTRIES,14,-61,,,8,,,,,,1,,,,
1906,2,21,,,,Tsu,COLOMBIA: BUENAVENTURA,3.9,-77.033,,,,,,,,,,,,,
1906,3,1,17,45,,,ALBANIA: ELBASAN,41.1,20,15,6.5,10,,,,,,3,,,,
1906,3,16,22,42,40,,TAIWAN: JIAYI,23.6,120.5,,6.8,,1258,4,145,3,,3,6769,4,,
1906,3,28,,,,,CHINA: FUJIAN PROVINCE,24.5,118.5,,6.5,8,,3,,2,,2,,2,,
1906,4,10,21,22,,,MEXICO: REVILLA GIGEDO ISLANDS,19,-113.8,60,7.5,,,,,,,,,,,
1906,4,13,19,18,,,TAIWAN: JIAYI,23.4,120.4,,6.5,,15,1,84,2,,3,1794,4,,
1906,4,18,13,12,21,Tsu,CALIFORNIA: SAN FRANCISCO,37.67,-122.48,20,7.9,11,700,3,,,400,4,28188,4,,
1906,5,7,,,,Tsu,CHILE: ARICA; PERU: TACNA,-18.5,-70.3,33,,,,,,,,,,,,
1906,5,,,,,,CHINA: YUNNAN PROVINCE,24.6,98.6,,5.3,7,1,1,,,,2,,3,,
1906,7,11,,,,,COLOMBIA,4.6,-74,,7.7,9,,,,,,,,,,
1906,7,14,10,27,,,COLOMBIA,4.6,-74,,7.7,9,,,,,,,,,,
1906,8,17,0,10,42,,ALASKA: ALEUTIAN ISLANDS: RAT ISLANDS,51.05,179.69,25,7.8,,,,,,,,,,,
1906,8,17,0,40,,Tsu,CHILE: SOUTH CENTRAL,-33,-72,25,8.2,11,4000,4,,,100,4,,,,
1906,8,25,,,,,ETHIOPIA: SHOA,9,38.4,,6.8,,,,,,,,,,,
1906,9,14,16,4,18,Tsu,PAPUA NEW GUINEA: NEW BRITAIN,-7,149,33,8,,,2,,,,3,,3,,
1906,9,17,10,,,,ITALY: SICILY,38,13.7,,,12,,,,,,,,,,
1906,9,28,15,24,54,,ECUADOR,-2,-79,150,7.9,7,,,,,,,,,,
1906,10,2,1,50,,Tsu,PAPUA NEW GUINEA: BISMARCK SEA,-4,149,,7.2,,,,,,,1,,,,
1906,11,19,7,18,,,AUSTRALIA: WEST COAST,-22,109,,7.8,,,,,,,,,,,
1906,11,20,21,0,,Tsu,GHANA: HO AKPAFU PALIME MISA ACCRA; TOGO,6.5,0.3,,5,8,,,,,,2,,3,,
1906,12,3,22,59,,,MARTINIQUE,15,-61,100,7.9,,,,,,,,,,,
1906,12,22,18,21,,,CHINA: XINJIANG PROVINCE,43.5,85,33,8.3,9,280,3,,,,3,2000,4,,
1906,12,23,17,22,,,ALASKA: ALEUTIAN ISLANDS,56.85,-153.9,,7.6,,,,,,,,,,,
1906,12,26,6,53,28,Tsu,PERU: OFF SOUTH COAST,-18,-71,33,7.9,,,,,,,,,,,
1907,1,4,5,19,12,Tsu,INDONESIA: NW SUMATRA: GUNUNGSITOLi BARUS,2,94.5,50,7.8,,,,,,,3,,3,,3
1907,1,14,21,36,,Tsu,JAMAICA: KINGSTON,18.2,-76.8,,6.5,,1000,3,,,30,4,,3,,
1907,2,21,1,,,,ITALY: SICILY,38,13.7,,,12,,,,,,,,,,
1907,2,23,20,17,,,PERU,-13.2,-75.4,90,7.6,,,,,,,,,,,
1907,3,29,20,46,30,Tsu,INDONESIA: TALAUD ISLANDS: KARAKELONG ISLAND,3,122,500,7.3,,,,,,,,,,,
1907,4,15,6,8,6,Tsu,MEXICO: GUERRERO,17,-100,60,8.3,,8,1,,,,2,,3,,
1907,4,18,20,59,48,,PHILIPPINES: SE LUZON: CAMARINES,14,123,,7.6,9,2,1,,1,,3,,,,
1907,4,18,23,52,4,,PHILIPPINES: SE LUZON: CAMARINES,13.5,123,,7.4,7,,,,,,1,,,,
1907,5,4,6,51,,,PAPUA NEW GUINEA: NEW BRITAIN,-7.5,153.7,60,7.7,,,,,,,,,,,
1907,5,25,14,2,8,,RUSSIA: SEA OF OKHOTSK,51.5,147,600,7.9,,,,,,,,,,,
1907,5,25,15,32,,,PHILIPPINES: N LUZON: TUGUEGARAO LAOAG N ILOCOS,18,120,,,8,,,,,,2,,,,
1907,6,25,17,54,36,,INDONESIA: DJAILOLO GILOLO,1,127,200,7.9,,,,,,,,,,,
1907,7,30,,,,,INDONESIA: SULAWESI: LEMO COLO ANJA OLU CONGKO,-2,121,,,8,,,,,,2,213,3,,
1907,8,16,13,,,,ALBANIA,41.1,20.1,13,6.2,10,,,,,,,,,,
1907,9,2,16,1,,,ALASKA: ALEUTIAN ISLANDS,52.59,-169.73,,7.8,,,,,,,,,,,
1907,9,24,12,59,,Tsu,ALASKA: SKAGWAY,59.5,-135.5,,5.5,5,,,,,,,,,,
1907,10,16,14,57,,,MEXICO: GULF OF CALIFORNIA,28,-112.5,60,7.7,,,,,,,,,,,
1907,10,21,4,23,36,,TAJIKISTAN: KARATAG,38.5,67.9,35,7.4,9,12000,4,,,,3,,3,,
1907,10,23,20,28,19,Tsu,ITALY: FERRUZANO,38.133,16.017,33,5.9,10,158,3,,,,2,,3,,
1907,11,16,10,10,,,PERU,-8.01,-76.79,150,,6,,,,,,,,,,
1907,11,24,13,59,,,PHILIPPINES: SE LUZON: CAMARINES,14,123,,,9,,,,,,2,,,,
1907,12,15,17,35,,Tsu,BISMARCK SEA,-3.1,142.5,33,7.4,,,,,,,,,,,
1907,,,,,,Tsu,TONGA ISLANDS: S OF TONGA,-21.17,-175.73,,,,,,,,,,,,,
1908,2,6,,,,Tsu,SW. SUMATRA,-2,100,130,7.5,,,,,,,,,,,
1908,2,14,11,25,,Tsu,ALASKA GULF,61,-146.2,,6,,,,,,,,,,,
1908,3,5,2,16,,,PHILIPPINES: MINDANAO,9,126,,7.5,,,,,,,,,,,
1908,3,23,12,20,,Tsu,INDONESIA: TIMOR,-10,129,,6.6,,,,,,,1,,,,
1908,3,26,23,3,30,,MEXICO: GUERRERO,18,-99,80,8.1,,,,,,,2,,,,
1908,3,27,3,45,30,,MEXICO: GUERRERO,17,-101,,7.5,,,,,,,,,,,
1908,5,5,6,16,,,INDONESIA: CELEBES SEA,3,123,,7.5,,,,,,,,,,,
1908,9,21,6,31,,Tsu,HAWAII,19,-155,33,6.8,,,,,,,,,,,
1908,10,23,20,14,6,,AFGHANISTAN: HINDU KUSH,36.5,70.5,220,7,,,,,,,,,,,
1908,11,6,7,9,30,,RUSSIA: KURIL ISLANDS,45,150,40,7.6,,,,,,,,,,,
1908,12,12,12,8,,Tsu,PERU: OFF COAST,-14,-78,33,8.2,,,,,,,,,,,
1908,12,12,,,,,MYANMAR (BURMA): KACHIN,26.5,97,,7.5,,,,,,,,,,,
1908,12,28,4,20,27,Tsu,ITALY: MESSINA SICILY CALABRIA,38.183,15.683,10,7.1,11,82000,4,,,116,4,,,,
1909,1,19,4,56,,,TURKEY: FOCA MENEMEN GUZELHISAR,38.6,26.9,,5.8,9,8,1,,,,3,,,,
1909,1,23,2,48,18,,IRAN: SILAKOR,33,50,33,7.7,,5500,4,,,,2,,,,
1909,1,29,,,,,MOROCCO: TETUAN (TETOUAN) ROMARS,35.6,-5.4,,,,100,2,,,,3,,,,
1909,2,9,11,24,,,TURKEY: ZARA IPSALA KOYULHISAR ENDERS,40.2,37.8,,6.3,9,,3,,,,3,,,,
1909,2,22,9,21,42,,FIJI ISLANDS,-18,-179,550,7.8,,,,,,,,,,,
1909,3,12,23,19,,Tsu,JAPAN: CHOSHI,34.5,141.5,,6.7,,,,,,,1,,,,
1909,3,13,14,29,,Tsu,JAPAN: YOKOHAMA,34.5,141.5,80,7.5,,,,,,,1,,,,
1909,3,18,16,30,,,PHILIPPINES: MINDANAO: E,8,127,,,8,,,,,,2,,,,
1909,3,23,3,,,,ITALY: N,44.5,10.5,,,12,,,,,,,,,,
1909,4,10,19,36,,,ALASKA: ALEUTIAN ISLANDS,52,175,,7.8,,,,,,,,,,,
1909,4,14,19,53,42,,TAIWAN: TAIPEI,25,121.5,,7.3,,9,1,51,2,,1,122,3,,
1909,4,23,17,39,36,,PORTUGAL: RIBATEJO  BENAVENTE,38.9,-8.8,,6.6,10,30,1,,,,2,,2,,2
1909,4,26,,,,,CAMEROON: BUEA,4.2,9.2,,,,,,,,,1,,,,
1909,5,11,15,54,24,,CHINA: YUNNAN PROVINCE,24.4,103,,6.5,8,21,1,,,,2,,3,,
1909,6,3,18,40,48,Tsu,INDONESIA: SW SUMATRA: KERINTJI  REDJANGLEBONG,-2,101,40,7.6,,,3,,,,3,,3,,3
1909,6,7,8,25,,,ITALY: CENTRAL,43.2,11.5,,,12,,,,,,,,,,
1909,6,8,5,46,30,Tsu,CHILE,-26.5,-70.5,,7.6,,,,,,,,,,,
1909,6,11,21,6,,,FRANCE: VERNEGUES CHARLEVAL LA ROQUE D'ANTHERON,43.7,5.4,,6.2,10,40,1,,,,2,,,,
1909,7,7,21,37,50,,AFGHANISTAN: HINDU-KUSH,36.5,70.5,230,8.1,7,,,,,,,,,,
1909,7,8,2,30,,,PAKISTAN,35.5,72.5,,,,10,1,,,,1,,,,
1909,7,8,,,,,VANUATU ISLANDS: ESPIRITU SANTO,-15.5,167.2,,,,,,,,,2,,3,,3
1909,7,15,0,28,,,GREECE: CHAVARI (ELIS),37.9,21.5,4,5.7,10,,1,,,,,,,,
1909,7,30,10,51,54,Tsu,MEXICO: ACAPULCO,16.8,-99.8,,7.8,,,,,,,3,,3,,
1909,8,14,6,30,,Tsu,JAPAN: OOMI,35.4,136.3,33,6.9,,41,1,,,,3,976,3,,
1909,8,24,22,32,,,ITALY: CENTRAL,43.2,11.5,,,12,,,,,,,,,,
1909,10,20,23,41,,,PAKISTAN,30,68,60,7.2,,231,3,,,,2,,,,
1909,10,21,16,27,,,ITALY: SICILY,37.7,15.2,5,,12,,,,,,,,,,
1909,10,29,17,38,,,TURKEY: KOGLACIK,40.3,29.6,,5.8,8,,,,,,3,,,,
1909,10,31,10,23,,,MEXICO: GUERRERO MICHOACAN,17,-101.2,,4.7,,,,,,,3,,,,
1909,11,10,6,13,,,JAPAN: KYUSHU,32,131,190,7.9,,,,,,,,,,,
1909,11,21,7,36,,,TAIWAN,24.4,121.8,,7.3,,4,1,,,,1,14,1,,
1909,12,9,23,23,,,SOLOMON ISLANDS,-10,165,,7.7,,,,,,,,,,,
1909,12,9,23,28,,Tsu,GUAM,12.5,145,100,8,8,,,,,,2,,,,
1910,1,1,11,2,,,HONDURAS,17,-85,60,7.5,,,,,,,,,,,
