Year,Mo,Dy,Hr,Mn,Sec,Tsu,Name,Lat,Long,focal depth,Mag,MMI Int,Deaths,Det,Injuries,Det,Damage Mill$,Det,Houses Destoyed,Det,Houses Damaged,Det
1938,6,28,,,,,MEXICO: TELOLOAPAN,18.2,-99.5,,,,,,,,,2,,,,
1938,8,10,2,2,,,ECUADOR: ALANGASI SANGOLQUI TINGO-PICHINCHA,-0.3,-78.4,10,6.3,10,,,,,,,,,,
1938,11,5,8,43,21,Tsu,JAPAN: NEAR E COAST HONSHU,37.1,141.7,30,7.7,,1,1,,,,1,20,1,,
1938,11,5,10,50,15,Tsu,JAPAN: NEAR E COAST HONSHU,37.2,141.7,30,7.6,,,,,,,,,,,
1938,11,6,8,53,53,Tsu,JAPAN: OFF EAST COAST HONSHU,37.5,142.2,0,7.5,,,,,,,,,,,
1938,11,6,21,38,47,Tsu,JAPAN: NEAR E COAST HONSHU,37,141.7,0,7.1,,,,,,,,,,,
1938,11,9,2,22,,Tsu,JAPAN: SANRIKU,37.6,141.2,20,,,,,,,,,,,,
1938,11,10,20,18,41.2,Tsu,ALASKA,55.48,-158.37,25,8.2,6,,,,,,,,,,
1938,11,13,22,31,,Tsu,JAPAN: SANRIKU,37,141.5,60,6,,,,,,,,,,,
1938,11,22,1,14,,Tsu,JAPAN: SANRIKU,36.7,142.1,10,,,,,,,,,,,,
1938,11,30,2,29,,Tsu,JAPAN: SANRIKU,37,142.2,50,,,,,,,,,,,,
1938,12,6,23,0,51,,TAIWAN,22.9,121.5,,7,,,,,,,1,13,1,,
1939,1,2,4,35,,,TURKEY,36.3,30.7,,5.3,,,,,,,3,,,,
1939,1,25,3,32,14,Tsu,CHILE: CHILLAN,-36.25,-72.25,60,8.3,10,30000,4,,,920,4,,4,,
1939,1,27,20,10,15,Tsu,ITALY: CALABRIA,38.5,14.7,15,,,,,,,,,,,,
1939,1,30,2,18,30,Tsu,PAPUA NEW GUINEA: BOUGAINVILLE ISLAND,-7.08,155.386,35,7.7,,5,1,,3,,2,,3,,
1939,3,20,3,22,,Tsu,JAPAN: SEIKAIDO,32.3,132,20,6.6,,,,,,,,,,,
1939,4,18,6,22,45,Tsu,CHILE: NORTH CENTRAL,-27,-70.5,100,7.4,,,,,,,,,,,
1939,4,30,2,55,29.1,Tsu,SOLOMON ISLANDS,-9.295,159.234,35,7.9,,,,,,,2,,2,,
1939,5,1,5,58,,Tsu,JAPAN: HONSHU: NW,40.1,139.5,,7,,27,1,52,2,,2,479,3,,
1939,5,6,17,0,7,Tsu,PHILIPPINES: LUZON ISLAND MINDOR ISLAND,13.5,121.25,110,6.5,5,,,,,,,,,,
1939,5,8,1,46,,,AZORES: ATLANTIC,37,-24.5,,7.1,10,,,,,,,,,,
1939,6,22,19,19,26,Tsu,GHANA: ACCRA,5.18,-0.13,13,6.4,9,22,1,130,3,,3,1500,4,,
1939,6,24,4,22,,,PERU: POMACANCHI,-12.5,-72,,,,37,1,,,,1,,,,
1939,8,15,3,52,,Tsu,CUBA: SANTA CLARA,22.2,-79.1,,5.6,8,,,,,,,,,,
1939,9,19,,,,,CHINA: YUNNAN PROVINCE,24.4,102.5,,5.5,7,2,1,,,,1,,1,,
1939,9,21,0,37,,,TURKEY,39.1,26.8,,6.5,9,41,1,,,,2,,,,
1939,10,11,14,51,,,PERU: CHUQUIBAMBA,-15.305,-72.19,120,,7,,,,,,2,,3,,
1939,11,21,8,43,,,TURKEY: ERZINCAN,39.7,40.4,80,5.9,7,13,1,,,,2,,,,
1939,11,21,11,2,,,AFGHANISTAN,36.3,70.6,220,6.9,,,,,,,2,,,,
1939,12,21,21,0,40,Tsu,INDONESIA: CENTRTAL SULAWESI: KALO LUWUK SULA I,,123,150,8,,,,,,,2,,3,,
1939,12,26,23,57,22.6,Tsu,TURKEY: ERZINCAN,39.77,39.533,35,7.7,12,32700,4,,,20,3,,4,,
1940,1,15,13,19,24,Tsu,ITALY,38.1,13.5,15,4.8,8,,,,,,,,,,
1940,1,15,,,,,ARGENTINA: SAN JUAN,-31,-69,,,,,,,,,,,,,
1940,1,19,5,23,48,,CHINA: NEI MONGOL,42.7,121.3,,6,,,2,,,,2,,3,,
1940,2,20,,,,,NICARAGUA: CORINTO CHINANDEGA,12.5,-87.5,,,,,,,,,2,,,,
1940,2,20,,,,,TURKEY: KAYSERI DEVELI,38.4,35.5,,,9,37,1,,,,2,,,,
1940,4,6,13,43,2,,CHINA: YUNNAN PROVINCE,23.9,102.3,,6,8,181,3,475,3,,3,11556,4,,
1940,5,7,22,23,,,TURKEY-CIS,41.7,43.8,19,6,,16,1,,,,2,,,,
1940,5,19,4,36,40.9,,CALIFORNIA; MEXICO,32.733,-115.5,16,7.2,10,9,1,,,33,4,,,,
1940,5,24,16,33,57,Tsu,PERU,-10.5,-77,60,8.2,10,179,3,3500,4,,3,,3,,
1940,6,19,,,,,CHINA: YUNNAN PROVINCE,24.4,102.5,,5.5,7,2,1,20,1,,2,,3,,
1940,7,14,5,52,53.5,,ALASKA: ALEUTIAN ISLANDS: RAT ISLANDS,52,178.2,65,7.4,,,,,,,,,,,
1940,8,1,15,8,24,Tsu,JAPAN: W. HOKKAIDO ISLAND,44.2,139.5,10,7.5,9,,,,,,1,,,,
1940,8,5,9,55,15,,CHINA: LIAONING PROVINCE,40.2,122,,5.8,8,,,,,,3,1190,4,,
1940,10,4,7,54,42,Tsu,N. CHILE,-22,-71,75,7.3,,,,,,,,,,,
1940,10,11,18,41,13,Tsu,S. CHILE,-41.5,-74.5,33,7,,,,,,,,,,,
1940,11,10,1,39,,,ROMANIA,45.8,26.8,150,7.3,10,1000,3,,,10,3,,,,
1941,1,11,8,32,59,,YEMEN: RAZIH,16.4,43.5,,5.9,8,1200,4,200,3,,,700,3,1000,3
1941,1,13,16,27,44.7,Tsu,BISMARCK SEA,-4.175,152.071,15,7.4,,4,1,,,,2,1,1,,3
1941,2,9,9,44,4,Tsu,CALIFORNIA: NORTHERN,40.5,-125.25,,6.6,6,,,,,,1,,,,
1941,2,16,16,38,,,IRAN: MOHAMMADABAD,33.5,58.6,,6.3,,730,3,,,,3,,,,
1941,3,16,18,48,,Tsu,ITALY: CALABRIA,38.3,12.2,,,,,,,,,,,,,
1941,4,15,19,9,,,MEXICO: MICHOACAN COLIMA JALISCO,18.9,-102.9,60,7.9,7,,,,,,,,,,
1941,5,5,15,18,27,,CHINA: HEILONGJIANG PROVINCE,47,127.2,,6,8,132,3,203,3,,3,6321,4,,
1941,5,16,7,14,32,,CHINA: YUNNAN PROVINCE,23.6,99.4,,7,9,,1,,,,2,,3,,
1941,6,26,11,52,,Tsu,INDIA: ANDAMAN ISLANDS MADRAS; SRI LANKA: COLOMBO,12.5,92.5,55,7.6,,,1,,1,,4,,4,,4
1941,8,7,,,,,TUNISIA: BOU-SAADIAH ZAGHOUAN,36,10,,,,,,,,,1,,,,
1941,9,10,21,53,,,TURKEY: VAN ERCIS,39.5,43.3,28,6,8,430,3,,,,,,,,
1941,10,8,15,24,20,,CHINA: SICHUAN PROVINCE,31.7,102.3,,6,8,15,1,10,1,,1,70,2,,
1941,11,12,10,4,,,TURKEY: ERZINCAN,39.7,39.4,70,5.9,8,15,1,,,,,,,,
1941,11,18,16,46,,Tsu,JAPAN: SHIKOKU,32,132.1,10,7.4,,,,,,,1,,,,
1941,11,25,18,3,55,Tsu,ATLANTIC OCEAN: NORTHERN,37.417,-18.983,,8.3,9,,,,,,,,,,
1941,12,5,20,46,58,Tsu,COSTA RICA-PANAMA,8.7,-83.2,,7.6,4,6,1,,3,,2,,3,,
1941,12,6,21,24,40,Tsu,COSTA RICA-PANAMA,8.5,-84,,6.9,,,,,,,,,,,
1941,12,16,19,19,42,,TAIWAN,23.3,120.3,,7.1,,319,3,,,,2,1768,4,,
1941,12,26,14,48,9,,CHINA: YUNNAN PROVINCE,22.7,99.9,,7,8,,2,,,,1,,2,,
1942,2,1,17,30,47,,CHINA: YUNNAN PROVINCE: SIMAO,23.1,100.3,,6.8,8,90,2,,4,,4,,4,,
1942,4,8,15,40,,,PHILIPPINES: MINDORO,13.5,121,25,7.8,,,,,,,,,,,
1942,5,14,2,13,,,ECUADOR: GUAYAQUIL,-0.75,-81.5,30,7.9,9,200,3,,,2.5,2,,3,,
1942,5,22,10,30,36,Tsu,COLOMBIA,4.6,-74.5,130,5.8,,,,,,,2,,,,
1942,5,28,1,1,48,,INDONESIA: MINAHASSA PENINSULA,,124,120,7.5,,,,,,,,,,,
1942,6,5,,,,,ARGENTINA: CANADA SECA LAS MALVINAS,-34.6,-67.9,,,,,,,,,3,,,,
1942,7,8,21,22,27,,CHINA: NEI MONGOL: TONGLIAO,43,122,,6,8,,2,,2,,2,,2,,
1942,8,6,23,36,59,,GUATEMALA: NEAR S COAST,14,-91,50,7.9,,,,,,,,,,,
1942,8,24,22,50,27,Tsu,PERU: ICA NAZCA,-15,-76,60,8.2,9,30,1,25,1,,3,,3,,
1942,8,27,6,14,11,,ALBANIA: PESHKOPIA MAGELLARE,41.7,20.4,33,6,10,43,1,110,3,,3,,3,,
1942,11,10,11,41,27,,SOUTH AFRICA: PRINCE EDWARD ISLAND,-49.5,32,25,7.9,,,,,,,,,,,
1942,11,12,,,,,MEXICO: JUCHITAN,16.3,-95,,,,,,,,,3,,,,
1942,11,15,17,1,,,TURKEY: BALIKESIR BIGADIC,39.2,28.2,,6.1,8,16,1,,,,2,,,,
1942,11,21,14,1,,,TURKEY: KASTAMONU KARGI,40.3,34.6,,,8,17,1,,,,2,,,,
1942,12,2,19,4,,,TURKEY: CORUM,40.6,35,,,8,4,1,,,,3,,,,
1942,12,11,2,39,,,TURKEY,40.8,35.1,,,8,,,,,,3,,,,
1942,12,20,14,3,,,TURKEY: NIKSAR ERBAA,40.9,36.5,,7.3,10,1000,3,,,,4,,,,
1942,12,29,3,42,,,BALKANS NW: CROATIA,43.4,17.2,15,6,10,,,,,,,,,,
1943,1,20,15,32,,,TURKEY: HENDEK,40.8,30.5,,6.6,,285,3,,,,,,,,
1943,1,29,,,,,BALKANS NW: BOSNIA-HERZEGOVINA,44.3,17,,,,19,1,,,,1,,,,
1943,1,30,5,33,3,,ECUADOR: GUAYAQUIL,-2.1,-80.5,100,6.9,6,,,,,,2,,,,3
1943,1,31,5,1,,,PERU: YANACOA PAMPAMARCA,-14.2,-71.5,,5,,75,2,200,3,,1,,,,
1943,2,22,9,20,,,MEXICO: GUERRERO: PARICUTIN VOLCANO FORMS,16.7,-101.5,60,7.5,7,11,1,,,,3,,,,
1943,4,5,1,56,1,,CHINA: XINJIANG WEIWUER ZIZHIQU PROVINCE,39.3,73.3,,6.5,,,3,,,,2,,3,,
1943,4,6,16,7,15,Tsu,CHILE: ILLAPEL,-30.75,-72,35,8.2,,11,1,,,,1,,1,,
1943,4,16,,,,,ALGERIA: MANSOURAH,36.1,4.5,,5,,,2,,,,,,,,
1943,5,12,12,25,,,ITALY: CENTRAL,43.1,13.3,,,12,,,,,,,,,,
1943,5,25,23,7,36,,PHILIPPINES: E OF,7.5,128,33,8.1,,,,,,,,,,,
1943,6,9,3,6,22,,INDONESIA: S SUMATERA,-1,101,50,7.6,,,,,,,,,,,
1943,6,13,5,12,,Tsu,JAPAN: SE. HOKKAIDO ISLAND,41.2,143.3,20,,,,,,,,,,,,
1943,6,20,15,33,,,TURKEY: HENDEK ADAPAZARI,40.6,30.5,15,6.2,10,285,3,,,,3,,,,
1943,6,21,,,,,CHINA: SICHUAN PROVINCE,30.6,104.1,,5,6,,1,,,,1,,1,,
1943,7,23,14,53,9,,INDONESIA: JAVA: JOGYAKARTA,-9.5,110,90,8.1,8,213,3,2096,4,,3,,,2800,4
1943,7,29,3,2,,,PUERTO RICO: SAN JUAN,19.3,-67.5,,7.8,,,,,,,,,,,
1943,9,6,3,41,,,AUSTRALIA: MACQUARIE ISLAND,-53,159,25,7.9,,,,,,,,,,,
1943,9,10,8,37,,,JAPAN: HONSHU: S,35.3,133.9,10,7.4,,1400,4,,,,4,7739,4,,
1943,9,14,2,1,,,NEW CALEDONIA: LOYALTY ISLANDS,-22,171,50,7.5,,,,,,,,,,,
1943,9,14,7,18,,,KERMADEC ISLANDS: S OF,-30,-177,60,7.6,,,,,,,,,,,
1943,10,23,,,,,MYANMAR (BURMA),21.5,93.5,,7.2,,,,,,,2,,,,
1943,11,6,8,31,37,,INDONESIA: NEW GUINEA: IRIAN JAYA: ARU ISLANDS,-6,134.5,60,7.6,,,,,,,,,,,
1943,11,26,22,20,36,,TURKEY: LADIK SAMSUN HAVZA,41,33.7,33,7.6,11,4020,4,5000,4,,4,40000,4,,
1943,11,28,17,11,,,RUSSIA: KAMCHATKA,54.9,156.8,350,7.6,,,,,,,1,,,,
1943,12,5,,,,,TURKEY: ANATOLIA: NE,40,40,,,,550,3,,,,3,,,,
1944,1,15,23,49,,,ARGENTINA: SAN JUAN PROVINCE,-31.5,-68.5,50,7.8,,8000,4,,,100,4,,,,
1944,2,1,3,23,,,TURKEY,41.4,32.7,33,7.4,10,2381,4,,,,3,,,,
1944,3,9,22,12,58,,CHINA: XINJIANG PROVINCE,44,84,,7.2,,3,1,,,,1,,2,,
1944,3,22,0,43,18,,INDONESIA: FLORES,-8.5,123.5,220,7.5,,,,,,,,,,,
1944,4,5,,,,,IRAN: GORGAN,36.8,54.5,7,4.8,8,20,1,,,,2,,,,
1944,5,25,12,58,,,PAPUA NEW GUINEA: NEW IRELAND,-2.5,152.8,60,7.5,,,,,,,,,,,
1944,6,25,4,16,,,TURKEY: USAK,38.9,29.3,33,6,8,21,1,,,,,,,,
1944,7,30,4,,,,GREECE: KAMPOS (LACONIA),36.7,22.5,8,5.7,10,,,,,,,,,,
1944,9,5,4,38,45.7,,NEW YORK: MASSENA,44.957,-74.723,12,5.6,8,,,,,2,2,,,,
1944,9,27,16,25,7,,CHINA: XINJIANG,39.1,75,,7,,,,,,,1,,2,,
1944,10,5,17,28,,,NEW CALEDONIA: LOYALTY ISLANDS,-22.5,172,120,7.5,,,,,,,,,,,
1944,10,6,2,34,36,,TURKEY: AYVALIK,39.4,26.7,,6.8,9,30,1,,,,4,5500,4,,
1944,11,24,4,49,,,VANUATU ISLANDS,-19,169,170,7.5,,,,,,,,,,,
1944,12,7,4,35,,Tsu,JAPAN: OFF SOUTHEAST COAST KII PENINSULA,34,137.1,30,8.1,,1223,4,2135,4,,3,26146,4,,
1945,1,12,18,38,,Tsu,JAPAN: HONSHU: S,34.7,137.2,,7.1,,2306,4,896,3,,4,7221,4,,
1945,2,10,4,57,,Tsu,JAPAN: SANRIKU,40.9,142.1,20,,,,,,,,,,,,
1945,3,18,8,1,26,,UGANDA: MASARA,,32,,6,9,5,1,,,,2,,,,
1945,3,20,7,59,,,TURKEY: AELANA CEYHAN ADANA,37.4,35.8,60,6,7,300,3,,,,,,,,
1945,5,11,20,17,,,IRAN: GARMSAR KERAND BANKUH,35.2,52.1,,,,20,1,,,,3,,,,
1945,6,21,1,33,,,TURKEY,38.5,43.3,,,7,,,,,,2,,,,
1945,7,29,8,56,,,TURKEY: VAN BOLGESI,38.5,43.3,,,7,300,3,,,,3,,,,
1945,9,12,0,51,,,CAMEROON: CONGO; CENTRAL AFRICAN REPUBLIC,2.5,15.6,,6.2,8,,,,,,1,,,,
1945,9,23,15,34,21,,CHINA: HEBEI PROVINCE,39.5,119,,6.3,8,17,1,30,1,,1,,2,,
1945,11,27,21,56,50,Tsu,PAKISTAN: MAKRAN COAST,24.5,63,,8,10,4000,4,,,,,,,,
1945,12,21,,,,,TURKEY: DENIZLI BURDUR,38,28.9,,,8,7,1,,,,2,,,,
1945,12,28,17,48,,,PAPUA NEW GUINEA: NEW BRITAIN,-6,150,60,7.8,,,,,,,,,,,
1946,2,10,,,,,IRAN: GIV (SE BIRJAND),32.5,59.1,,,8,3,1,,,,3,,,,
1946,2,12,2,43,24,,ALGERIA: HODNA MOUNTAINS,35.75,5,,5.6,9,264,3,,,,3,,,,
1946,2,21,15,43,,,TURKEY: IIGIN KONYA,38.2,31.8,60,5.6,8,12,1,,,,,,,,
1946,3,12,2,21,,,IRAN: KAZERUN,29.4,51.4,,,,,,,,,3,,,,
1946,4,1,12,29,1.3,Tsu,ALASKA: UNIMAK ISLAND,53.492,-162.832,15,8.6,6,,,,,,,,,,
1946,5,31,3,12,,,TURKEY: USTUKRAN,39.3,41.2,,5.9,8,840,3,,,,,,,,
1946,6,23,17,13,19,Tsu,BRITISH COLUMBIA,49.87,-124.92,,7.3,,,,,,,1,,,,
1946,8,2,19,18,48,Tsu,CHILE: NORTHERN,-26.5,-70.5,60,7.9,,2,1,,,,3,,,,
1946,8,4,17,51,6,Tsu,DOMINICAN REPUBLIC: NORTHEASTERN COAST,19.3,-68.9,60,7.8,,,1,,,,1,,1,,
1946,8,8,13,28,,Tsu,DOMINICAN REPUBLIC: NORTHEASTERN COAST,19.71,-69.51,50,7.4,,,,,,,,,,,
1946,9,12,15,17,17,,MYANMAR (BURMA),23.9,96.2,60,7.5,,,,,,,,,,,
1946,9,12,15,20,23,,MYANMAR (BURMA),23.9,96.2,60,7.8,,,,,,,,,,,
1946,9,29,3,1,,,PAPUA NEW GUINEA: NEW IRELAND,-4.5,153.5,60,7.7,,,,,,,,,,,
1946,9,30,0,59,40,Tsu,PERU: PISCO,-14,-76.25,70,7,7,,,,,,2,,,,3
1946,11,1,11,14,,Tsu,ALASKA: EAST ALEUTIAN ISLANDS,51.5,-174.5,40,,,,,,,,,,,,
1946,11,2,18,28,,,KYRGYZSTAN,41.5,72.5,35,7.6,10,,,,,,2,,,,
1946,11,4,21,47,,,TURKMENISTAN,39.3,55.4,26,7.5,,400,3,,,,3,,,,
1946,11,10,17,42,,,PERU: JOCAIBAMBA CERRO ANGASCHAJ CERRO SILLAPATA,-8.5,-77.5,12,7.3,11,800,3,,,,3,,,,
1946,12,4,22,47,39,,TAIWAN,23.1,120.3,,6.8,9,58,2,384,3,,2,700,3,,
1946,12,20,19,19,5,Tsu,JAPAN: HONSHU: S COAST,33,135.6,20,8.1,,1362,4,,,,4,14259,4,,
1947,1,26,,,,,EL SALVADOR: LA UNION,13.2,-87.5,,,,,,,,,2,,,,
1947,1,28,,,,,ARGENTINA: SANTIAGO DEL ESTERO PROVINCE,-26.5,-63,,7.5,,,,,,,,,,,
1947,3,17,8,19,41,,CHINA: QINGHAI PROVINCE,33.3,99.5,,7.7,,,,,,,,,,,
1947,3,25,20,32,15,Tsu,NEW ZEALAND: OFF COAST NORTH ISLAND,-38.85,178.87,12,7.1,4,,,,,,1,,1,,
1947,3,26,20,48,32,,CHINA: YUNNAN PROVINCE,25,102,,5.5,7,1,1,,1,,2,,3,,
1947,4,10,15,58,,,CALIFORNIA,35,-116.6,,6.4,,,,,,,2,,,,
1947,5,6,20,30,32,,PAPUA NEW GUINEA: NEW BRITAIN,-6.5,148.5,33,7.3,,,,,,,,,,,
1947,5,17,7,6,,Tsu,NEW ZEALAND: OFF COAST NORTH ISLAND,-38.42,178.88,12,6.9,,,,,,,,,,,
1947,6,7,5,5,,,CHINA: SICHUAN PROVINCE,26.7,102.9,,5.5,7,3,1,,,,1,,2,,
1947,7,10,15,,,,IRAN: SHIRVAN,37.5,57.8,9,4.1,7,,,,,,2,,,,
1947,7,14,7,1,,,COLOMBIA: PASTO,1.2,-77.2,10,,9,2,1,,,,2,,,,
1947,7,29,13,43,22,,INDIA-CHINA,28.5,94,60,7.9,,,,,,,,,,,
1947,8,5,14,24,10,,PAKISTAN: GWADAR,25.5,63,,7.6,,,,,,,,,,,
1947,8,6,9,36,40,,ALGERIA,37,8,,5.3,9,3,1,,3,,2,,,,
1947,9,23,12,28,,,IRAN: DUSTABAD,33.4,58.7,,6.9,,500,3,,,,3,,,,
1947,10,6,19,55,34,Tsu,GREECE: S: PYLIA (MESSINIA),36.9,22,28,7,9,3,1,20,1,,4,7000,4,,
1947,11,1,14,58,,,PERU: SATIPO ANDAMARCA ACOBAMBA LA MERCED VICTOC,-10.5,-75,100,7.3,10,233,3,,,,3,,,,
1947,11,4,0,9,10,Tsu,JAPAN: W. HOKKAIDO ISLAND,43.8,141,33,7,,,,,,,,,,,
1948,1,24,17,46,40,Tsu,PHILIPPINES: PANAY ILOILO CITY ANTIQUE,10.5,122,33,8.3,9,72,2,,,3.5,2,,3,,3
1948,2,9,12,58,13,Tsu,GREECE: DODECANESE ISLANDS,35.5,27,30,7.1,10,,,,,,,,,,
1948,3,1,1,12,28,,INDONESIA: SERAM,-3,127.5,60,7.9,,,,,,,,,,,
1948,4,17,16,11,,Tsu,JAPAN: TOKAIDO,33.1,135.6,40,,,,,,,,,,,,
1948,4,22,10,42,,Tsu,GREECE: VASILIKI (LEUKAS),38.5,20.3,33,6.4,10,,2,,,,,,,,
1948,5,7,7,15,,,ITALY: N,44.6,10.9,,,12,,,,,,,,,,
1948,5,11,8,56,,,PERU: AREQUIPA MOQUEGUA TACNA TORATA QUELLAVECO,-17.4,-71,60,7.1,10,1,1,,,,2,,,,
1948,5,14,22,31,,,ALASKA: ALASKA PENINSULA,54.5,-161,25,7.5,,,,,,,,,,,
1948,5,25,7,11,21,,CHINA: SICHUAN PROVINCE,29.5,100.5,18,7.3,10,800,3,200,3,,3,600,3,,
1948,5,28,5,37,,,PERU: CANETE,-13.1,-76.2,55,6.8,7,4,1,,,,2,,,,
1948,6,2,18,58,18,Tsu,INDONESIA: OFF NORTHWEST COAST,6,95,,6.2,,,,,,,,,,,
1948,6,27,0,8,23,,CHINA: YUNNAN PROVINCE,26.4,99.7,,6.8,8,110,3,100,2,,2,600,3,,
1948,6,28,7,13,,,JAPAN: FUKUI,36.5,136,20,7.3,,5131,4,11000,4,1000,4,63000,4,18543,4
1948,6,30,12,21,,,GREECE: TSOUKALADES-KALAMITSI (LEUKAS),38.5,20.5,33,6.4,11,6,1,,,,2,,,,
1948,9,8,15,9,,Tsu,TONGA ISLANDS,-21,-174,25,7.9,,,,,,,,,,,
1948,10,5,20,12,7,,TURKMENISTAN: ASHKHABAD,37.95,58.32,18,7.3,10,110000,4,,4,25,4,,4,,
1948,10,8,19,1,57,,CHINA: GUIZHOU PROVINCE,27.4,104,,5.8,8,3,1,75,2,,2,,3,,3
1948,12,4,0,22,48,Tsu,MEXICO: MARIA MADRE ISLAND,22,-106,,6.9,,4,1,21,1,,3,,,,
1948,12,26,7,12,21,Tsu,CHILE: ANTOFAGASTA,-22.5,-69,100,7,7,,,,,,,,,,
1949,1,27,11,0,,Tsu,RUSSIA: KAMCHATKA,54.6,163.5,150,,,,,,,,,,,,
1949,2,9,13,28,30,Tsu,GRFECE: OFF WEST COAST,38.2,20,15,,,,,,,,,,,,
1949,2,23,16,8,11,,CHINA: XINJIANG,42,84,,7.3,9,21,1,17,1,,3,1010,4,,
1949,3,4,10,19,25,,AFGHANISTAN: HINDU-KUSH WEST PUNJAB,36,70.5,230,7.5,8,,,,,,2,,,,
1949,4,13,19,55,42,Tsu,WASHINGTON,47.167,-122.617,,7,8,8,1,,,25,4,,,,
1949,4,20,3,29,7,Tsu,CHILE: ANGOL TRAIGUEN,-38,-73.5,70,7.3,,57,2,,,,2,,,,
1949,4,24,4,22,,,IRAN: MAKHL-E-NAKHODA BANDAR ABBAS BAZAAR,27.28,56.46,100,6.3,,,,,,,3,,,,
1949,5,9,13,36,18,Tsu,INDONESIA: BANDA ACEH,5,95,,6.7,,,,,,,,,,,
1949,7,10,3,53,38,,TAJIKISTAN,39.2,70.8,16,7.4,10,3500,4,,,,4,,4,,
1949,7,23,15,3,30,Tsu,GREECE: CHIOS OENOUSSAE; TURKEY: KARABURUN,38.58,26.23,,6.7,9,7,1,435,3,,3,534,3,5501,4
1949,8,4,19,8,,,ECUADOR: PELILEO,-1.4,-78.5,10,6.7,10,,,,,,,,,,
1949,8,5,19,8,,,ECUADOR,-1.5,-78.2,60,6.8,,6000,4,,,7.5,3,,,,
1949,8,6,0,35,,,TONGA ISLANDS,-18.5,-174.5,70,7.5,,,,,,,,,,,
1949,8,17,18,43,,,TURKEY: KARLIOVA,39,40.5,,6.8,10,320,3,,,,3,,,,
1949,8,22,4,1,12.2,Tsu,CANADA: QUEEN CHARLOTTE ISLANDS,53.62,-133.27,25,8.1,,,,,,,,,,,
1949,9,5,2,54,1,Tsu,PHILIPPINES: N LUZON,17,121.5,80,6.4,,,,,,,,,,,
1949,9,15,3,45,,,ITALY: CENTRAL,42.5,12.7,,,12,,,,,,,,,,
1949,10,19,21,0,19,Tsu,PAPUA NEW GUINEA: BISMARCK SEA,-5.5,154,60,7.5,,,,,,,,,,,
1949,11,13,5,27,11,,CHINA: SICHUAN PROVINCE,30.3,102.5,,5.5,,,2,,,,1,,,,
1949,11,17,1,19,52,,CALIFORNIA: SOUTHERN,33.75,-118.25,,,5,,,,,9,3,,,,
1949,12,17,6,53,30,Tsu,CHILE: TIERRA DEL FUEGO,-54,-71,33,7.8,,1,1,,,,1,,,,
1949,12,17,15,7,55,Tsu,CHILE: TIERRA DEL FUEGO,-54,-71,33,7.8,,3,1,,,,1,,,,
1949,12,29,3,3,54,Tsu,PHILIPPINES: LUZON: E,18,121,,7.2,8,15,1,,,,2,,2,,2
1950,1,19,17,27,,,IRAN: BUSHIRE,27.3,53.2,,,,20,1,,,,3,,,,
1950,1,30,0,56,32,Tsu,CHILE: SOUTHERN,-53.5,-71.5,33,7,6,,1,,,,,,,,
1950,2,2,19,33,39,,CHINA: YUNNAN PROVINCE,21.7,100.1,,7,,,,,,,1,,,,
1950,2,4,9,31,,,TURKEY,40,40,,,,20,1,,,,1,,,,
1950,2,28,10,20,,,RUSSIA: SEA OF OKHOTSK,46,144,340,7.9,6,,,,,,,,,,
1950,3,7,8,3,,,BRAZIL,-8,-71,550,,5,,,,,,,,,,
1950,3,14,18,10,41,Tsu,N. NEW ZEALAND,-37.8,177.2,,5.8,,,,,,,,,,,
1950,5,16,13,23,,,PERU,-15,-69.5,250,7.9,,,,,,,,,,,
1950,5,21,18,37,,,PERU: CUSCO,-13.5,-72,,6,,83,2,,,,3,,,,
1950,6,19,12,36,54,,INDONESIA: JAVA: GRESIK,-6,113,,6.5,7,16,1,50,1,,1,50,1,,
1950,7,9,2,35,,,COLOMBIA: ANBOLEDAS,7.8,-72.5,41,,9,211,3,,,5,2,,,,
1950,8,3,22,18,,Tsu,VENEZUELA: EL TOCUYO,10.5,-68,8,6.8,,100,2,,,,,,,,
1950,8,5,19,8,,,ECUADOR,-1.5,-78.2,60,6.8,11,,,,,,,,,,
1950,8,15,14,9,30,Tsu,INDIA-CHINA,28.5,96.5,33,8.6,11,1530,4,,,20,3,,,,
1950,9,13,0,3,7,,CHINA: YUNNAN PROVINCE,23.5,103.1,,5.8,8,,,,,,2,320,3,,
1950,10,5,16,9,31,Tsu,COSTA RICA-NICARAGUA,11,-85,60,7.7,,,,,3,,1,,,,
1950,10,8,3,23,9,Tsu,INDONESIA: SERAM,-3.8,128.3,60,7.6,,,,,,,,,,,
1950,10,23,16,13,20,Tsu,GUATEMALA: SAN MARCOS,14.31,-91.917,65,7.5,,,,,,,3,,3,,3
1950,11,2,15,27,56,,INDONESIA: BANDA SEA,-6.5,129.5,60,8.1,,,,,,,,,,,
1950,11,8,2,18,12,Tsu,SOLOMON ISLANDS: SOLOMON SEA,-10,159.5,33,7.3,,,,,,,,,,,
1950,11,17,19,28,,,MEXICO: GUERRERO,16.5,-100.4,,6.8,11,,,,,,2,,,,
1950,12,2,19,51,49,,VANUATU ISLANDS,-18.25,167.5,60,7.8,,,,,,,,,,,
1950,12,9,21,38,48,,CHILE-ARGENTINA,-23.5,-67.5,100,8,7,1,1,,2,,,,,,
